Type d'activité,Date,Favori,Titre,Distance,Calories,Temps total,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Training Stress Score® (TSS®),Nombre total de coups,Pas,Température minimale,Décompression,Temps du meilleur circuit,Nombre de tours,Température maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Boxe,2026-04-05 12:30:53,false,"F3b KickBoxing","0,00","92","00:09:10,9","137","162","2,7","--","--","--","--","--","--","--","0,0","--","614","25,0","Non","00:09:10,9","1","30,0","00:00:00","00:11:08","--","--"
Cardio,2026-04-05 12:19:02,false,"Jump Rope","0,00","87","00:08:59,7","133","149","2,6","--","--","--","--","--","--","--","0,0","--","1.112","25,0","Non","00:08:59,7","1","27,0","00:00:00","00:11:07","32","34"
Rameur d'intérieur,2026-04-05 11:51:44,false,"Rameur d'intérieur","--","132","20:01.1","111","124","1,7","--","--","--","--","--","--","--","0,0","532","--","27,0","Non","00:20:01","1","28,0","00:00:00","00:20:01","--","--"
Boxe,2026-03-30 12:16:32,false,"F3b KickBoxing","0,00","86","00:09:24,1","130","153","2,6","--","--","--","--","--","--","--","0,0","--","528","24,0","Non","00:09:24,1","1","29,0","00:00:00","00:11:03","--","--"
Cardio,2026-03-30 12:03:30,false,"Jump Rope","0,00","90","00:08:59,7","137","151","2,7","--","--","--","--","--","--","--","0,0","--","1.056","22,0","Non","00:08:59,7","1","28,0","00:00:00","00:10:58","35","41"
Rameur d'intérieur,2026-03-30 11:37:01,false,"Rameur d'intérieur","--","168","20:02.9","124","133","2,5","--","--","--","--","--","--","--","0,0","533","--","27,0","Non","00:20:03","1","29,0","00:00:00","00:20:03","--","--"
Course à pied sur tapis roulant,2026-03-29 11:52:19,false,"Course à pied sur tapis roulant","6,70","483","00:45:00","147","158","4,9","167","174","6:43","6:35","--","--","0,86","0,0","--","7.476","22,0","Non","00:02:53,1","7","25,0","00:44:43","00:45:00","--","--"
Course à pied,2026-03-22 17:24:47,false,"Noyal-sur-Vilaine Course à pied","5,96","447","00:37:48","161","181","5,0","168","187","6:21","4:23","40","38","0,94","0,0","--","6.348","18,0","Non","00:05:42,6","6","30,0","00:37:45","00:37:48","36","52"
Course à pied sur tapis roulant,2026-03-15 17:55:53,false,"Running","6,22","527","00:45:00","--","--","--","--","--","7:14","--","--","--","--","0,0","--","--","--","Non","00:00:00","1","--","--:--:--","00:45:00","--","--"
Course à pied,2026-03-08 11:34:34,false,"Noyal-sur-Vilaine Course à pied","7,60","574","00:49:15","159","176","5,0","169","187","6:29","4:59","50","46","0,91","0,0","--","8.350","20,0","Non","00:04:22,1","8","30,0","00:49:13","00:49:15","34","49"
Course à pied sur tapis roulant,2026-03-01 17:12:50,false,"Course à pied sur tapis roulant","6,01","457","00:44:45","142","155","4,4","162","175","7:27","6:51","--","--","0,83","0,0","--","7.268","23,0","Non","00:00:01,9","7","27,0","00:44:43","00:44:45","--","--"
Course à pied sur tapis roulant,2026-02-22 17:13:55,false,"Course à pied sur tapis roulant","6,12","419","00:45:01","134","152","3,8","164","180","7:21","6:03","--","--","0,90","0,0","--","7.358","21,0","Non","00:04:08,4","7","26,0","00:44:59","00:45:01","--","--"
Course à pied sur tapis roulant,2026-02-08 16:45:18,false,"Course à pied sur tapis roulant","4,40","327","00:30:01","149","164","4,3","165","175","6:50","6:10","--","--","0,89","0,0","--","4.954","22,0","Non","00:02:53,5","5","28,0","00:29:25","00:30:01","--","--"
Boxe,2026-02-07 11:00:25,false,"Boxe","0,00","468","01:00:00","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","Non","00:00:00","1","--","--:--:--","01:00:00","--","--"
Course à pied sur tapis roulant,2026-02-01 17:21:48,false,"Course à pied sur tapis roulant","4,50","332","00:30:17","149","161","4,4","163","173","6:44","6:31","--","--","0,84","0,0","--","4.930","22,0","Non","00:01:08,8","5","27,0","00:30:15","00:30:17","--","--"
Boxe,2026-01-31 11:00:04,false,"Boxe","0,00","468","01:00:00","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","Non","00:00:00","1","--","--:--:--","01:00:00","--","--"
Course à pied sur tapis roulant,2026-01-25 17:08:42,false,"Course à pied sur tapis roulant","6,70","477","00:45:00","146","167","4,9","165","173","6:43","6:37","--","--","0,85","0,0","--","7.424","21,0","Non","00:02:19,1","7","27,0","00:44:59","00:45:00","--","--"
Course à pied sur tapis roulant,2026-01-18 11:25:57,false,"Course à pied sur tapis roulant","3,80","265","00:27:22","135","153","3,4","167","179","7:12","6:24","--","--","0,83","0,0","--","4.564","21,0","Non","00:05:30,4","4","25,0","00:26:42","00:27:22","--","--"
Course à pied sur tapis roulant,2026-01-11 17:07:29,false,"Course à pied sur tapis roulant","4,20","310","00:29:53","140","154","3,8","164","183","7:06","6:13","--","--","0,86","0,0","--","4.896","19,0","Non","00:01:24,0","5","25,0","00:29:41","00:29:53","--","--"
Boxe,2026-01-10 11:00:00,false,"Boxe","0,00","468","01:00:00","--","--","--","--","--","--","--","--","--","--","0,0","--","--","--","Non","01:00:00","1","--","--:--:--","01:00:00","--","--"
